name,DOI,publication_year,dataset_used,task
deep learning-based auto-segmentation of targets and organs-at-risk for magnetic resonance imaging only planning of prostate radiotherapy,10.1016/j.phro.2019.11.006,2019,PROMISE12,Cardiac
deep learning-based methods for prostate segmentation in magnetic resonance imaging,10.3390/app11020782,2021,PROMISE12,Cardiac
integration of deep learning and active shape models for more accurate prostate segmentation in 3d mr images,10.3390/jimaging8050133,2022,PROMISE12,Cardiac
machine learning for the prediction of pseudorealistic pediatric abdominal phantoms for radiation dose reconstruction,10.1117/1.jmi.7.4.046501,2020,PROMISE12,Cardiac
confidence calibration and predictive uncertainty estimation for deep medical image segmentation,10.1109/tmi.2020.3006437,2020,PROMISE12,Cardiac
fully automated multiorgan segmentation of female pelvic magnetic resonance images with coarse‐to‐fine convolutional neural network,10.1002/mp.15268,2021,PROMISE12,Cardiac
automatic zonal segmentation of the prostate from 2d and 3d t2-weighted mri and evaluation for clinical use,10.1117/1.jmi.9.2.024001,2022,PROMISE12,Cardiac
artificial intelligence and machine learning in prostate cancer patient management—current trends and future perspectives,10.3390/diagnostics11020354,2021,PROMISE12,Cardiac
generalizable multi-site training and testing of deep neural networks using image normalization,10.1109/isbi.2019.8759295,2019,PROMISE12,Cardiac
segmentation of the prostate transition zone and peripheral zone on                     mr images with deep learning,10.1148/rycan.2021200024,2021,PROMISE12,Cardiac
artificial intelligence with deep learning in nuclear medicine and radiology,10.1186/s40658-021-00426-y,2021,PROMISE12,Cardiac
automated knee cartilage segmentation for heterogeneous clinical mri using generative adversarial networks with transfer learning,10.21037/qims-21-459,2022,PROMISE12,Cardiac
analysis of geometric performance and dosimetric impact of using automatic contour segmentation for radiotherapy planning,10.3389/fonc.2020.01762,2020,PROMISE12,Cardiac
the promising role of new molecular biomarkers in prostate cancer: from coding and non-coding genes to artificial intelligence approaches,10.1038/s41391-022-00537-2,2022,PROMISE12,Cardiac
multi-site infant brain segmentation algorithms: the iseg-2019 challenge,10.1109/tmi.2021.3055428,2021,PROMISE12,Cardiac
annotation-efficient deep learning for automatic medical image segmentation,10.1038/s41467-021-26216-9,2021,PROMISE12,Cardiac
automated reference tissue normalization of t2-weighted mr images of the prostate using object recognition,10.1007/s10334-020-00871-3,2021,PROMISE12,Cardiac
training convolutional networks for prostate segmentation with limited data,10.1109/access.2021.3100585,2021,PROMISE12,Cardiac
pseudo-t2 mapping for normalization of t2-weighted prostate mri,10.1007/s10334-022-01003-9,2022,PROMISE12,Cardiac
a review of deep learning-based three-dimensional medical image registration methods,10.21037/qims-21-175,2021,PROMISE12,Cardiac
data augmentation and transfer learning to improve generalizability of an automated prostate segmentation model,10.2214/ajr.19.22347,2020,PROMISE12,Cardiac
machine learning in prostate mri for prostate cancer: current status and future opportunities,10.3390/diagnostics12020289,2022,PROMISE12,Cardiac
graph-based deep learning for medical diagnosis and analysis: past present and future,10.3390/s21144758,2021,PROMISE12,Cardiac
autoprostate: towards automated reporting of prostate mri for prostate cancer assessment using deep learning,10.3390/cancers13236138,2021,PROMISE12,Cardiac
evaluation of multimodal algorithms for the segmentation of multiparametric mri prostate images,10.1155/2020/8861035,2020,PROMISE12,Cardiac
analytical performance of apromise: automated anatomic contextualization detection and quantification of [18f]dcfpyl (psma) imaging for standardized reporting,10.1007/s00259-021-05497-8,2022,PROMISE12,Cardiac
boundary coding representation for organ segmentation in prostate cancer radiotherapy,10.1109/tmi.2020.3025517,2021,PROMISE12,Cardiac
an optimized approach for prostate image segmentation using k-means clustering algorithm with elbow method,10.1155/2021/4553832,2021,PROMISE12,Cardiac
voxelwise prediction of recurrent high-grade glioma via proximity estimation–coupled multidimensional support vector machine,10.1016/j.ijrobp.2021.12.153,2022,PROMISE12,Cardiac
msd-net: multi-scale discriminative network for covid-19 lung infection segmentation on ct,10.1109/access.2020.3027738,2020,PROMISE12,Cardiac
adversarial confidence learning for medical image segmentation and synthesis,10.1007/s11263-020-01321-2,2020,PROMISE12,Cardiac
harnessing clinical annotations to improve deep learning performance in prostate segmentation,10.1371/journal.pone.0253829,2021,PROMISE12,Cardiac
a quality control system for automated prostate segmentation on t2-weighted mri,10.3390/diagnostics10090714,2020,PROMISE12,Cardiac
challenge of prostate mri segmentation on t2-weighted images: inter-observer variability and impact of prostate morphology,10.1186/s13244-021-01010-9,2021,PROMISE12,Cardiac
biomechanically constrained non-rigid mr-trus prostate registration using deep learning based 3d point cloud matching,10.1016/j.media.2020.101845,2021,PROMISE12,Cardiac
co-optimization learning network for mri segmentation of ischemic penumbra tissues,10.3389/fninf.2021.782262,2021,PROMISE12,Cardiac
automatic segmentation of pelvic cancers using deep learning: state-of-the-art approaches and challenges,10.3390/diagnostics11111964,2021,PROMISE12,Cardiac
investigating the performance of generative adversarial networks for prostate tissue detection and segmentation,10.3390/jimaging6090083,2020,PROMISE12,Cardiac
deep learning improves speed and accuracy of prostate gland segmentations on magnetic resonance imaging for targeted biopsy,10.1097/ju.0000000000001783,2021,PROMISE12,Cardiac
explainable ai for cnn-based prostate tumor segmentation in multi-parametric mri correlated to whole mount histopathology,10.1186/s13014-022-02035-0,2022,PROMISE12,Cardiac
evolving deep architecture generation with residual connections for image classification using particle swarm optimization,10.3390/s21237936,2021,PROMISE12,Cardiac
a review of artificial intelligence in prostate cancer detection on imaging,10.1177/17562872221128791,2022,PROMISE12,Cardiac
a fusion biopsy framework for prostate cancer based on deformable superellipses and nnu-net,10.3390/bioengineering9080343,2022,PROMISE12,Cardiac
automatic segmentation of the prostate on mr images based on anatomy and deep learning,10.1117/12.2581893,2021,PROMISE12,Cardiac
distance-based detection of out-of-distribution silent failures for covid-19 lung lesion segmentation,10.1016/j.media.2022.102596,2022,PROMISE12,Cardiac
artificial intelligence for prostate mri: open datasets available applications and grand challenges,10.1186/s41747-022-00288-8,2022,PROMISE12,Cardiac
automated volumetric and statistical shape assessment of cam-type morphology of the femoral head-neck region from clinical 3d magnetic resonance images,10.21037/qims-22-332,2022,PROMISE12,Cardiac
automated 3d analysis of clinical magnetic resonance images demonstrates significant reductions in cam morphology following arthroscopic intervention in contrast to physiotherapy,10.1016/j.asmr.2022.04.020,2022,PROMISE12,Cardiac
emerging tools for computer-aided diagnosis and prognostication,10.4172/2167-0870.1000e117,2014,PROMISE12,Cardiac
designing image segmentation studies: statistical power sample size and reference standard quality,10.1016/j.media.2017.07.004,2017,PROMISE12,Cardiac
superpixel-based segmentation for 3d prostate mr images,10.1109/tmi.2015.2496296,2016,PROMISE12,Cardiac
computational imaging reveals shape differences between normal and malignant prostates on mri,10.1038/srep41261,2017,PROMISE12,Cardiac
computer-aided detection of prostate cancer with mri,10.1016/j.acra.2016.03.010,2016,PROMISE12,Cardiac
a supervoxel-based segmentation method for prostate mr images,10.1117/12.2082255,2015,PROMISE12,Cardiac
accuracy validation of an automated method for prostate segmentation in magnetic resonance imaging,10.1007/s10278-017-9964-7,2017,PROMISE12,Cardiac
gland and zonal segmentation of prostate on t2w mr images,10.1007/s10278-016-9890-0,2016,PROMISE12,Cardiac
metrics for evaluating 3d medical image segmentation: analysis selection and tool,10.1186/s12880-015-0068-x,2015,PROMISE12,Cardiac
